id,name,category,address,postcode,city,country,website,source_url,notes
vc-001,Balderton Capital,vc,The Stables 28 Britannia Street,WC1X 9JF,London,UK,https://balderton.com,https://find-and-update.company-information.service.gov.uk/company/OC306910,Series A onwards Europe-focused tech
vc-002,Index Ventures,vc,5-8 Lower John Street,W1F 9DY,London,UK,https://indexventures.com,https://find-and-update.company-information.service.gov.uk/company/OC344205,Multi-stage seed through growth
vc-003,Atomico,vc,29 Rathbone Street,W1T 1NJ,London,UK,https://atomico.com,https://find-and-update.company-information.service.gov.uk/company/OC342228,Multi-stage early through growth Founded by Skype founder
vc-004,Octopus Ventures,vc,33 Holborn,EC1N 2HT,London,UK,https://octopusventures.com,https://find-and-update.company-information.service.gov.uk/company/03843058,Health fintech deep tech consumer 400+ companies
vc-005,LocalGlobe,vc,1 Brill Place,NW1 1EL,London,UK,https://localglobe.vc,https://localglobe.vc,Seed stage Phoenix Court Group
vc-006,Accel Partners,vc,6th Floor 1 New Burlington Place,W1S 2HR,London,UK,https://accel.com,https://find-and-update.company-information.service.gov.uk/company/OC303424,Multi-stage seed through growth
vc-007,Seedcamp,vc,72-74 Dean Street,W1D 3SG,London,UK,https://seedcamp.com,https://find-and-update.company-information.service.gov.uk/company/OC391626,Pre-seed and seed stage European startups
vc-008,Passion Capital,vc,Second Floor Laxmi The Tanneries 57 Bermondsey Street,SE1 3XJ,London,UK,https://passioncapital.com,https://find-and-update.company-information.service.gov.uk/company/OC361157,Early-stage digital media and technology
vc-009,MMC Ventures,vc,3rd Floor 24 High Holborn,WC1V 6AZ,London,UK,https://mmc.vc,https://find-and-update.company-information.service.gov.uk/company/03946009,Early-stage enterprise AI fintech data-driven health
vc-010,Forward Partners,vc,20 Garrick Street,WC2E 9BT,London,UK,https://forwardpartners.com,https://find-and-update.company-information.service.gov.uk/company/13244370,Pre-seed and seed consumer and enterprise software
vc-011,Notion Capital,vc,91 Wimpole Street,W1G 0EF,London,UK,https://notion.vc,https://find-and-update.company-information.service.gov.uk/company/OC364955,B2B SaaS Series A onwards
vc-012,Dawn Capital,vc,Ilona Rose House Manette Street,W1D 4AL,London,UK,https://dawncapital.com,https://find-and-update.company-information.service.gov.uk/company/OC321845,B2B software Series A+ Europe's largest specialist
vc-013,Northzone,vc,7-9 St James's Square,SW1Y 4JU,London,UK,https://northzone.com,https://northzone.com/offices,Multi-stage European tech investor
vc-014,Episode 1 Ventures,vc,London,W1F 7EF,London,UK,https://ep1.vc,https://ep1.vc,Seed and Series A European startups
vc-015,Entrepreneur First,vc,Shoreditch Exchange Senna Building Gorsuch Place,E2 8JF,London,UK,https://joinef.com,https://find-and-update.company-information.service.gov.uk/company/OC397263,Pre-seed talent investor
vc-016,Backed VC,vc,London,EC2A 3AR,London,UK,https://backed.vc,https://backed.vc,Pre-seed and seed European founders
vc-017,Felix Capital,vc,London,W1T 1JU,London,UK,https://felixcap.com,https://felixcap.com,Seed through growth consumer technology
vc-018,Stride VC,vc,61 Great Tower Street,EC3R 5AX,London,UK,https://stride.vc,https://stride.vc,Seed and Series A B2B software
vc-019,Anthemis,vc,London,EC2M 4YD,London,UK,https://anthemis.com,https://anthemis.com,Financial services innovation
vc-020,Playfair Capital,vc,London,EC2A 4NE,London,UK,https://playfair.vc,https://playfair.vc,Pre-seed and seed deep tech
vc-021,Kindred Capital,vc,London,EC2A 3AY,London,UK,https://kindredcapital.vc,https://kindredcapital.vc,Seed stage European B2B
vc-022,Connect Ventures,vc,4th Floor 140 Aldersgate Street,EC1A 4HY,London,UK,https://connectventures.co,https://find-and-update.company-information.service.gov.uk/company/OC367566,Seed and Series A
vc-023,Hoxton Ventures,vc,55 New Oxford Street Eighth Floor,WC1A 1BS,London,UK,https://hoxtonventures.com,https://find-and-update.company-information.service.gov.uk/company/OC383815,Early-stage
vc-024,Speedinvest,vc,London,EC2A 2FH,London,UK,https://speedinvest.com,https://speedinvest.com,Pre-seed and seed European tech
vc-025,83North,vc,London,W1S 1HQ,London,UK,https://83north.com,https://83north.com,Seed through growth global tech
vc-026,Fabric Ventures,vc,London,EC2A 3EY,London,UK,https://fabric.vc,https://fabric.vc,Web3 and crypto early-stage
vc-027,Outlier Ventures,vc,11 Cursitor Street,EC4A 1LL,London,UK,https://outlierventures.io,https://outlierventures.io,Web3 accelerator and VC
ai-001,Google DeepMind,ai,6 Pancras Square,N1C 4AG,London,UK,https://deepmind.google,https://find-and-update.company-information.service.gov.uk/company/07386350,AI research lab AGI AlphaFold
ai-002,Anthropic,ai,9th Floor 107 Cheapside,EC2V 6DN,London,UK,https://anthropic.com,https://find-and-update.company-information.service.gov.uk/company/14604577,AI safety company Claude assistant
ai-003,Cohere,ai,Fourth Floor 51 Great Marlborough Street,W1F 7JT,London,UK,https://cohere.com,https://find-and-update.company-information.service.gov.uk/company/13987418,Enterprise AI platform NLP LLMs
ai-004,Synthesia,ai,Level 3 South 20 Triton Street Regent's Place,NW1 3BF,London,UK,https://synthesia.io,https://find-and-update.company-information.service.gov.uk/company/10933652,AI video generation $2.1B valuation
ai-005,Wayve,ai,230 York Way,N7 9AG,London,UK,https://wayve.ai,https://find-and-update.company-information.service.gov.uk/company/10924127,Autonomous driving AI $1.05B Series C
ai-006,Stability AI,ai,Fora-United House 9 Pembridge Road Notting Hill Gate,W11 3JY,London,UK,https://stability.ai,https://find-and-update.company-information.service.gov.uk/company/12295325,Generative AI images and video
ai-007,Faculty AI,ai,Level 5 160 Old Street,EC1V 9BW,London,UK,https://faculty.ai,https://find-and-update.company-information.service.gov.uk/company/08873131,Applied AI and MLOps platform
ai-008,BenevolentAI,ai,4-8 Maple Street,W1T 5HD,London,UK,https://benevolent.com,https://find-and-update.company-information.service.gov.uk/company/09781806,AI drug discovery
ai-009,Isomorphic Labs,ai,22 Handyside Street,N1C 4DN,London,UK,https://isomorphiclabs.com,https://find-and-update.company-information.service.gov.uk/company/13223825,DeepMind spinout AI drug discovery $600M
ai-010,Tractable,ai,71-75 Shelton Street,WC2H 9JQ,London,UK,https://tractable.ai,https://find-and-update.company-information.service.gov.uk/company/09315523,AI visual assessment damage appraisal
ai-011,Quantexa,ai,280 Bishopsgate,EC2M 4AG,London,UK,https://quantexa.com,https://find-and-update.company-information.service.gov.uk/company/10045407,Decision intelligence platform
ai-012,Vercel,ai,8 Northumberland Avenue,WC2N 5BY,London,UK,https://vercel.com,https://find-and-update.company-information.service.gov.uk/company/15286209,Frontend deployment platform
ai-013,Mindgard,ai,34 Lime Street,EC3M 7AT,London,UK,https://mindgard.ai,https://find-and-update.company-information.service.gov.uk/company/14120558,AI security automated red teaming $8M Series A
ai-014,Fractile,ai,2 Communications Road Greenham Business Park,RG19 6AB,Newbury,UK,https://fractile.ai,https://find-and-update.company-information.service.gov.uk/company/14143636,AI chip architecture $15M seed
fintech-001,Revolut,fintech,30 South Colonnade,E14 5HX,London,UK,https://revolut.com,https://find-and-update.company-information.service.gov.uk/company/08804411,Digital banking payments $75B valuation
fintech-002,Monzo,fintech,Broadwalk House 5 Appold Street,EC2A 2AG,London,UK,https://monzo.com,https://find-and-update.company-information.service.gov.uk/company/09446231,Digital bank
fintech-003,Wise,fintech,1st Floor Worship Square 65 Clifton Street,EC2A 4JE,London,UK,https://wise.com,https://find-and-update.company-information.service.gov.uk/company/07209813,International money transfer
fintech-004,Stripe,fintech,9th Floor 107 Cheapside,EC2V 6DN,London,UK,https://stripe.com,https://find-and-update.company-information.service.gov.uk/company/08480771,Payment infrastructure
fintech-005,Checkout.com,fintech,Wenlock Works Shepherdess Walk,N1 7BQ,London,UK,https://checkout.com,https://find-and-update.company-information.service.gov.uk/company/08037323,Payment processing
fintech-006,GoCardless,fintech,Sutton Yard 65 Goswell Road,EC1V 7EN,London,UK,https://gocardless.com,https://find-and-update.company-information.service.gov.uk/company/07495895,Direct debit payments
fintech-007,Plaid,fintech,Techspace Level 4 25 Worship Street,EC2A 2DX,London,UK,https://plaid.com,https://find-and-update.company-information.service.gov.uk/company/11103959,Financial data API
fintech-008,Klarna,fintech,10 York Road,SE1 7ND,London,UK,https://klarna.com,https://find-and-update.company-information.service.gov.uk/company/08706739,Buy now pay later
fintech-009,OakNorth,fintech,3rd Floor 57 Broadwick Street Soho,W1F 9QS,London,UK,https://oaknorth.co.uk,https://find-and-update.company-information.service.gov.uk/company/08595042,Business lending platform
fintech-010,Zopa,fintech,Level 12 20 Water Street Canary Wharf,E14 5GX,London,UK,https://zopa.com,https://find-and-update.company-information.service.gov.uk/company/10627575,Digital bank and lending
fintech-011,Starling Bank,fintech,3rd Floor 2 Finsbury Avenue,EC2M 2PP,London,UK,https://starlingbank.com,https://find-and-update.company-information.service.gov.uk/company/09092149,Digital bank
fintech-012,Funding Circle,fintech,5th Floor 71 Queen Victoria Street,EC4V 4AY,London,UK,https://fundingcircle.com,https://find-and-update.company-information.service.gov.uk/company/06968588,SME lending platform
fintech-013,ClearBank,fintech,201 Haverstock Hill,NW3 4QG,London,UK,https://clearbank.co.uk,https://find-and-update.company-information.service.gov.uk/company/10193375,Banking infrastructure clearing bank
fintech-014,TrueLayer,fintech,Angel Building 407 St John Street,EC1V 4AB,London,UK,https://truelayer.com,https://find-and-update.company-information.service.gov.uk/company/10124530,Open banking API
fintech-015,Thought Machine,fintech,78 York Street,W1H 1DP,London,UK,https://thoughtmachine.net,https://find-and-update.company-information.service.gov.uk/company/08019163,Core banking technology cloud-native
web3-001,Blockchain.com,web3,145-157 St John Street,EC1V 4PY,London,UK,https://blockchain.com,https://find-and-update.company-information.service.gov.uk/company/08021223,Crypto wallet and exchange
web3-002,Copper,web3,17 Broadwick Street Soho,W1F 0DE,London,UK,https://copper.co,https://find-and-update.company-information.service.gov.uk/company/11148681,Digital asset custody exploring IPO 2026
web3-003,MoonPay,web3,20-22 Wenlock Road,N1 7GU,London,UK,https://moonpay.com,https://find-and-update.company-information.service.gov.uk/company/12055543,Crypto payment infrastructure
